tau,diff_Eeta,diff_Eeta_variance,diff_Eeta_std,diff_Eeta_error,N_events
46.044864226682414,0.0,0.0,0.0,0.0,1
46.1629279811098,0.0,0.0,0.0,0.0,1
46.28099173553719,0.0,0.0,0.0,0.0,1
46.39905548996458,0.0,0.0,0.0,0.0,1
46.51711924439197,0.0,0.0,0.0,0.0,1
46.63518299881937,0.0,0.0,0.0,0.0,1
46.753246753246756,0.0,0.0,0.0,0.0,1
46.87131050767415,0.0,0.0,0.0,0.0,1
46.989374262101535,0.0,0.0,0.0,0.0,1
47.107438016528924,0.0,0.0,0.0,0.0,1
47.22550177095632,0.0,0.0,0.0,0.0,1
47.34356552538371,0.0,0.0,0.0,0.0,1
47.4616292798111,0.0,0.0,0.0,0.0,1
47.579693034238495,0.0,0.0,0.0,0.0,1
47.69775678866588,0.0,0.0,0.0,0.0,1
47.81582054309327,0.0,0.0,0.0,0.0,1
47.93388429752066,0.0,0.0,0.0,0.0,1
48.05194805194805,0.0,0.0,0.0,0.0,1
48.17001180637544,0.0,0.0,0.0,0.0,1
48.288075560802845,0.0,0.0,0.0,0.0,1
48.40613931523022,0.0,0.0,0.0,0.0,1
48.524203069657624,0.0,0.0,0.0,0.0,1
48.64226682408501,0.0,0.0,0.0,0.0,1
48.7603305785124,0.0,0.0,0.0,0.0,1
48.8783943329398,0.0,0.0,0.0,0.0,1
48.99645808736718,0.0,0.0,0.0,0.0,1
49.11452184179457,0.0,0.0,0.0,0.0,1
49.232585596221966,0.0,0.0,0.0,0.0,1
49.350649350649356,0.0,0.0,0.0,0.0,1
49.468713105076745,0.0,0.0,0.0,0.0,1
49.58677685950414,0.0,0.0,0.0,0.0,1
49.70484061393152,0.0,0.0,0.0,0.0,1
49.82290436835891,0.0,0.0,0.0,0.0,1
49.94096812278631,0.0,0.0,0.0,0.0,1
50.059031877213705,0.0,0.0,0.0,0.0,1
50.177095631641095,0.0,0.0,0.0,0.0,1
50.295159386068484,0.0,0.0,0.0,0.0,1
50.413223140495866,0.0,0.0,0.0,0.0,1
50.531286894923255,0.0,0.0,0.0,0.0,1
50.649350649350644,0.0,0.0,0.0,0.0,1
50.76741440377805,0.0,0.0,0.0,0.0,1
50.88547815820544,0.0,0.0,0.0,0.0,1
51.003541912632826,0.0,0.0,0.0,0.0,1
51.12160566706021,0.0,0.0,0.0,0.0,1
51.2396694214876,0.0,0.0,0.0,0.0,1
51.35773317591501,0.0,0.0,0.0,0.0,1
51.4757969303424,0.0,0.0,0.0,0.0,1
51.59386068476979,0.0,0.0,0.0,0.0,1
51.71192443919716,0.0,0.0,0.0,0.0,1
51.82998819362455,0.0,0.0,0.0,0.0,1
51.94805194805194,0.0,0.0,0.0,0.0,1
52.06611570247935,0.0,0.0,0.0,0.0,1
52.18417945690674,0.0,0.0,0.0,0.0,1
52.30224321133413,0.0,0.0,0.0,0.0,1
52.42030696576151,0.0,0.0,0.0,0.0,1
52.5383707201889,0.0,0.0,0.0,0.0,1
52.656434474616304,0.0,0.0,0.0,0.0,1
52.774498229043694,0.0,0.0,0.0,0.0,1
52.89256198347108,0.0,0.0,0.0,0.0,1
53.01062573789847,0.0,0.0,0.0,0.0,1
53.128689492325854,0.0,0.0,0.0,0.0,1
53.246753246753244,0.0,0.0,0.0,0.0,1
53.36481700118065,0.0,0.0,0.0,0.0,1
53.482880755608036,0.0,0.0,0.0,0.0,1
53.600944510035426,0.0,0.0,0.0,0.0,1
53.719008264462815,0.0,0.0,0.0,0.0,1
53.8370720188902,0.0,0.0,0.0,0.0,1
53.955135773317586,0.0,0.0,0.0,0.0,1
54.07319952774499,0.0,0.0,0.0,0.0,1
54.19126328217238,0.0,0.0,0.0,0.0,1
54.30932703659977,0.0,0.0,0.0,0.0,1
54.42739079102716,0.0,0.0,0.0,0.0,1
54.54545454545454,0.0,0.0,0.0,0.0,1
54.66351829988195,0.0,0.0,0.0,0.0,1
54.78158205430934,0.0,0.0,0.0,0.0,1
54.89964580873673,0.0,0.0,0.0,0.0,1
55.01770956316412,0.0,0.0,0.0,0.0,1
55.13577331759149,0.0,0.0,0.0,0.0,1
55.25383707201888,0.0,0.0,0.0,0.0,1
55.37190082644629,0.0,0.0,0.0,0.0,1
55.48996458087368,0.0,0.0,0.0,0.0,1
55.60802833530107,0.0,0.0,0.0,0.0,1
55.72609208972846,0.0,0.0,0.0,0.0,1
55.84415584415584,0.0,0.0,0.0,0.0,1
55.962219598583246,0.0,0.0,0.0,0.0,1
56.080283353010635,0.0,0.0,0.0,0.0,1
